symbol,trades,wins,losses,net_pnl,expectancy,win_rate,profit_factor,max_drawdown,sharpe,sortino,timestamp,symbols_tested,run_date
HBAN,148,61,87,-1029.8911873015854,-6.958724238524226,41.21621621621622,0.713583706952132,-1050.3974571428548,-0.11948287015766508,-0.26951740026810284,2026-01-17 17:46,15,2026-01-17
NVST,111,39,72,-1385.9005365079372,-12.485590418990425,35.13513513513514,0.5988567430101156,-1540.8301396825402,-0.6456994597467386,-1.7057208511079254,2026-01-17 17:46,15,2026-01-17
MIRM,200,76,124,-2247.749833333342,-11.23874916666671,38.0,0.6459108904956913,-2501.2797333333415,-0.12603528419690843,-0.2997926786405596,2026-01-17 17:46,15,2026-01-17
SRRK,216,111,105,961.0500095237987,4.449305599647216,51.388888888888886,1.1116341719692817,-1794.326657142859,2.1613720113284063,4.193878210694781,2026-01-17 17:46,15,2026-01-17
SKY,128,53,75,-226.63257142857015,-1.7705669642857043,41.40625,0.9365397930416931,-686.4367285714277,1.2818648054294908,4.070888808214072,2026-01-17 17:46,15,2026-01-17
PLUG,103,69,34,7100.68362857142,68.93867600554776,66.99029126213593,2.985215597671244,-1153.9126071428575,4.845523609478543,11.959254303961337,2026-01-17 17:46,15,2026-01-17
NBIS,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-17 17:46,15,2026-01-17
STLD,157,60,97,-1720.513028571433,-10.95868171064607,38.21656050955414,0.6345253859578879,-1777.019657142862,-0.9273311872827484,-2.5238796582744727,2026-01-17 17:46,15,2026-01-17
HMY,235,113,122,1168.4661357142759,4.972196322188408,48.08510638297872,1.1599015400629227,-1037.336850000001,3.2430134891997606,8.344553471297242,2026-01-17 17:46,15,2026-01-17
RGLD,143,62,81,-88.90332142857693,-0.6217015484515869,43.35664335664335,0.9730075111915845,-763.7448571428572,0.7935172312691424,2.24809451815403,2026-01-17 17:46,15,2026-01-17
FN,182,87,95,3.993407142851737,0.021941797488196357,47.8021978021978,1.0007947759517717,-1188.2301928571467,2.207443746139026,5.835087048726095,2026-01-17 17:46,15,2026-01-17
ALK,118,46,72,-1109.1228285714305,-9.399346004842632,38.983050847457626,0.6525406510500615,-1202.5635642857148,-0.06363006252199731,-0.14840796419277158,2026-01-17 17:46,15,2026-01-17
LOGI,124,64,60,1469.455099999999,11.850444354838702,51.61290322580645,1.7772883453369157,-469.6734857142866,3.2229833350141868,13.139167049341712,2026-01-17 17:46,15,2026-01-17
