symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
NVMI,1.0025821974990354,1.5864626,13.728527,0.0,-4.4562116,79.59994,0.5286618,27.475487,83.333336,-0.22951657,0.1728122,0.5175786,0.0
MKSI,1.000689145586246,1.2201412,11.0810375,-0.20373222,-3.4248633,75.28001,0.4083234,28.055853,79.166664,-0.27663752,0.3362061,0.56845564,0.0
MTSI,0.9724236538259816,0.56820905,6.4429655,0.0,-4.0170813,78.61866,0.6578157,27.563139,83.333336,-0.42592537,0.8599425,0.10875053,0.0
HBAN,0.9531579161530007,0.014441192,3.876182,-1.3097042,-0.6938027,57.08095,-0.15442653,25.431454,16.666666,-0.04183752,-0.039335087,0.22058177,0.0
MUR,0.904000330071499,0.16389683,2.2209835,-0.30848858,-1.2717645,60.036568,0.1985727,26.927868,20.833334,-0.09726911,0.16846675,0.056826845,0.0
BVN,0.8782117343450797,0.87390155,13.37165,-0.14792131,-3.0185459,78.66983,0.32651818,37.80221,87.5,-0.33303827,-0.06705354,0.063394845,0.0
NVST,0.8741797077771476,0.43764606,7.1651287,0.0,-3.4342964,76.92707,0.31368738,29.207123,87.5,-0.15776104,0.048735928,0.206657,0.0
WSM,0.8700989577998826,0.4014756,5.464807,0.0,-2.4242725,70.07995,0.3671345,29.635122,45.833332,-0.07621629,0.01213433,0.30394274,0.0
LHX,0.8588679747936598,0.98650426,8.469138,0.0,-3.115873,79.019875,0.40952548,44.548912,70.833336,-0.63657725,1.3084767,0.16625291,0.0
EOSE,0.8350395923948483,1.5667219,8.270966,0.0,-2.098564,68.05017,0.44026515,24.454477,41.666668,0.0070705167,0.14809689,0.15492691,0.0
