symbol,coarse_score,coarse_rank,ADX_z,AROON_z,BP_z,GAPpen_z,LIQpen_z,MH_z,MS_z,PT_z,RSI_z,TS_z,VCP_z,VOLexp_z
CYBR,0.475,1,-0.2926703425590565,-8.847896774055502e-17,-0.1991785938496372,-0.9649718268429832,0.0,0.19928459047497218,0.15399682631661968,1.0278858203782697,-0.07601609055201843,0.6197846520490515,0.036791680197056,-0.44713651880548794
ALK,0.375,2,-0.6732081524252753,-0.9339230769058353,-0.21333309209017562,-0.903394000299318,0.0,-0.3038781101250083,-1.0675404116742813,0.9169757896217502,-0.10292691014457066,-0.8027928118263852,0.12146872921286175,1.012922123115465
HBAN,0.375,3,-0.25135654741032054,0.10376923076731506,-0.21566336180350293,-0.2709888513076253,0.0,-0.6467639520918351,0.3387944780690628,0.8297201587796369,0.04794471948319974,0.23428602522436576,-1.1504387295688947,0.7260997966708724
CASY,0.375,4,0.8677451701984037,0.5188461538365751,0.716975553048544,-0.2867647468968417,0.0,2.8451653515739808,1.5877497979650028,-3.0,2.017987800847009,3.0,-0.5732271944397103,0.27845936357871065
NBIS,0.375,5,0.3121223885082948,0.6226153846038903,0.716975553048544,-0.02511882974570386,0.0,0.7927399305684423,2.620979775984792,-1.0112673907688796,0.8815058145486717,3.0,0.7546618826647847,-0.7661137370928414
IBN,0.375,6,0.33038558306328786,0.10376923076731506,-0.2526245704561665,-0.2801813663385061,0.0,-0.06755684587721268,0.48693530534903234,0.5959385068281261,0.16612017693141573,0.9515761014848446,-1.0996433246691986,2.6378113365393454
NVST,0.375,7,0.6851247941245304,0.5188461538365751,0.716975553048544,-0.30167121325118,0.0,1.3899214960442194,1.5738487353009045,-3.0,1.5655793684704773,3.0,-1.2571028233110682,1.0413104110764662
PLUG,0.375,8,-0.5344316011383466,0.10376923076731506,0.6727343113694495,-0.7008279684159238,0.0,0.18383056474666062,0.7996908767610429,0.06327715794824956,0.39911046832384844,1.3047824064704974,0.8983038075034976,-0.24915555064185424
OTIS,0.35,9,-0.7626700100264476,0.5188461538365751,0.6268535886226159,-0.10427255596679011,0.0,0.20134217969544724,0.3804551612377679,0.18406601077780504,0.45541300220378034,0.7009105351069886,-0.5616736949695805,0.686923734601228
RNA,0.35,10,1.0619436501044555,0.4669615384529177,0.4027211863412976,-0.37710787263298706,0.0,0.41229547196098665,-0.0010653583350345582,-0.5975127795977272,0.9719070441914844,0.2062147395351308,3.0,-0.8605352791540166
CFLT,0.35,11,3.0,0.726384615371205,0.4956855931302977,-0.49099727602274107,0.0,-1.5525589671356068,0.16091911173656143,-1.432763986421877,1.4242177925034922,0.3787377454507994,3.0,-1.1296697169344445
DUK,0.3,12,-0.9817778054963018,0.36319230768560273,0.716975553048544,-0.4567794627914562,0.0,0.8150452859621302,0.05765111262785937,-0.4087227231418285,0.693828581805106,0.03585189448420514,0.33542104652797644,0.17439107198600082
FN,0.275,13,-0.5834362366298166,0.05188461538365758,0.6412086508972911,-0.44044813119622217,0.0,0.8109055259942426,-0.5641245753488613,-0.15875528975211817,0.3895696238792606,0.10492125078256688,-0.6543354188587996,0.06355870080956819
BUD,0.275,14,0.17625193505265893,0.36319230768560273,0.46221639991413155,-0.6003191467562922,0.0,2.7469011851206275,0.8872639270529914,-3.0,1.3757582721671697,1.8828939340825737,-0.5296418517881627,1.1051199191567316
UMBF,0.275,15,-0.12075402398184683,0.4669615384529177,0.38545579668470537,-0.9252786119109854,0.0,0.2888125313613823,0.4347536802517676,-0.2526318860433061,0.3609522019077991,1.0421198593777865,-0.1600841251345385,-0.6831276684805663
AIT,0.275,16,-0.10660213757878452,0.6226153846038903,0.6757493790703785,-0.7222578195599939,0.0,1.9685961142420725,0.8800732448892143,-2.3653554321512726,1.3672116945310182,2.728881011415078,-0.36626938528931097,0.37661528148689793
JXN,0.275,17,2.1978746549213497,0.20753846153463007,-0.5472440094437158,-0.04578298137417692,0.0,-0.7726064393022647,1.3925229557695922,0.6805393919148313,0.25263154501440105,1.7951474293824359,-0.5744625498871538,0.15197339383901506
OMC,0.275,18,-0.3012078021305234,-0.9858076922894927,0.038646447056349606,-0.23245120670732283,0.0,0.16719534001739397,-0.2463870274041442,0.9379787792256143,-0.05573090902018342,-0.11157758999471287,-0.3137904824228877,-0.6447291427451505
DHI,0.275,19,-0.30254683248004965,0.20753846153463013,-0.16848967442047125,-0.5051851616756289,0.0,1.6250077255910955,1.0301224926245036,0.2253093219663226,0.2398307510085006,2.355582035766318,-1.589673144275425,1.5070206459966369
NTNX,0.25,20,-0.2790504334669931,-0.6226153846038903,-2.932811400894436,-0.5042880766246645,0.0,-2.1701991007919497,0.3315799423121631,-3.0,-1.7458495928446225,-0.022616647631794332,0.5533000570438623,-0.3419667639280272
GNTX,0.15,21,0.7073219416351173,0.20753846153463007,-0.436527675464754,-0.4510700784320787,0.0,-0.9275587777538271,0.347741146616974,0.737504491330471,-0.2351691444193173,0.08120938030657975,-1.1211892013016276,0.42746095778237325
BRBR,0.15,22,1.5563758940686425,-1.3489999999750957,-0.9383048589615417,-0.6171360372940173,0.0,0.6115827107255027,-3.0,-0.0722897873770432,-0.8881325588408324,-1.5678838816623812,-0.1653775821929798,-0.42342075404459
LYFT,0.15,23,-0.8030237471406038,-0.8301538461385204,-0.9584162249820594,-0.6293692840455435,0.0,-0.6006282304461189,-0.7300137254864427,-0.8899434733084399,-1.0825319399887738,-0.3154407269829698,1.749594527045926,-0.5893650322108696
MNDY,0.15,24,0.36150341622219023,-0.8301538461385204,-2.454311830261513,-0.3943343362930012,0.0,-1.8917607789842976,-1.164549067106517,-2.906950112469132,-1.6143317521596785,-0.893457395388484,0.8128462027891322,1.2441560993423215
ISRG,0.15,25,-0.07095472035156906,-0.7263846153712052,-2.572294113450468,-0.7410506612089509,0.0,-2.349188952457981,-0.17073807835588956,-2.4950230756233953,-1.5362993467244583,-0.08365027861466785,-0.7647654646794346,0.9011964898432233
LOGI,0.15,26,1.5977646693283465,-1.2452307692077806,-1.9617180194855817,0.28152807093762605,0.0,0.5091055662015072,-2.0855683337975184,-1.1373567287115716,-1.3043452189088331,-1.6468512925687575,0.6358023285892586,3.0
SOLV,0.15,27,0.24293694301904487,0.10376923076731506,-2.326985439012613,-0.6417819662491107,0.0,-1.6022783135241812,0.5547062825906528,-1.0598678690599082,-0.7770421013917587,0.17037255738529952,-0.016517214160620422,-0.14379755531969912
GPI,0.075,28,-1.053203051481408,-1.4008846153587529,-0.03256689175439354,-0.6009977460057114,0.0,0.1060057872842831,-0.32321223261558046,0.48026098501031833,-0.6419914930680477,0.06414840821202422,0.6068667743213633,-0.0682299383753428
CHRD,0.0,29,-0.9539072922079179,-0.5188461538365752,-0.030226886434225875,-0.9782026880839306,0.0,0.27993035731979615,-0.03215463711440108,0.9784300039860017,-0.2191294508074627,-0.005162464775912615,-0.9042493048606964,1.7438128662438792
STNE,0.0,30,-1.3822221323975008,-0.41507692306926014,-0.1797958162098602,-0.6981679593540157,0.0,-0.09052341928478934,-0.23385293807306695,0.6166511406109813,-0.39640387295770235,-0.10729842055311552,0.944321823815371,-0.8009547291339355
