symbol,coarse_score,coarse_rank
NRXS,1.4276,1
DVAX,1.1971,2
FBIO,0.921,3
HQI,0.877,4
RH,0.8721,5
SKYT,0.7165,6
FTAI,0.6333,7
CCL,0.5723,8
SRFM,0.5152,9
VRME,0.5151,10
ELLO,0.5097,11
RMCF,0.505,12
EDRY,0.4981,13
WT,0.4964,14
KDK,0.4906,15
REAL,0.4868,16
ZIM,0.4807,17
CNXC,0.4562,18
PRGO,0.4509,19
TDS,0.4197,20
ESGL,0.4179,21
CHAR,0.4075,22
OS,0.381,23
AMWL,0.3765,24
VSCO,0.3697,25
HTBK,0.3643,26
GTLS,0.3631,27
TWST,0.356,28
MFC,0.3467,29
FET,0.3435,30
AES,0.3391,31
MOG.A,0.3388,32
AXGN,0.3315,33
AQN,0.3165,34
ONIT,0.3122,35
IBKR,0.3012,36
WEAV,0.2995,37
ATEC,0.2924,38
IVZ,0.292,39
LSAK,0.2903,40
SPKL,0.2876,41
PRDO,0.2765,42
SUPN,0.273,43
NRGV,0.2681,44
BTE,0.2681,45
CTSH,0.2673,46
RGEN,0.2657,47
NVDA,0.2649,48
SHAK,0.2649,49
PCG,0.2647,50
ACHV,0.261,51
GATX,0.2594,52
BH,0.2594,53
ATLN,0.258,54
CUBI,0.2547,55
BBNX,0.2539,56
MA,0.2538,57
BOKF,0.2501,58
BSAC,0.2485,59
ALKT,0.2481,60
APD,0.2476,61
LYV,0.2452,62
HSIC,0.242,63
EQH,0.239,64
UPS,0.2378,65
HBAN,0.2378,66
WPM,0.2352,67
DUK,0.2308,68
DAR,0.2299,69
MAN,0.2269,70
BTDR,0.2251,71
COCO,0.2207,72
BBIO,0.2199,73
MDB,0.2196,74
SLB,0.2195,75
KGS,0.2167,76
XOM,0.2141,77
SMMT,0.2107,78
UEC,0.2107,79
AIN,0.2091,80
EQ,0.2082,81
ACM,0.2064,82
ZEUS,0.2021,83
AGM.A,0.2016,84
SRPT,0.1995,85
IMO,0.1992,86
SDA,0.1987,87
NXPI,0.1987,88
HUM,0.1977,89
VSAT,0.1976,90
WAT,0.1967,91
VRSK,0.1957,92
BCE,0.1933,93
CVLT,0.1914,94
ECL,0.1902,95
BMO,0.1898,96
ITT,0.1886,97
AMZN,0.1867,98
UBSI,0.1865,99
FBRX,0.1852,100
CPRT,0.1842,101
PAL,0.1839,102
DTCK,0.1839,103
PD,0.183,104
YUM,0.1828,105
SYNA,0.1827,106
RGR,0.1825,107
BWXT,0.1799,108
TRX,0.178,109
PATH,0.1778,110
WMS,0.1757,111
CIX,0.1757,112
VEEV,0.1718,113
FGNX,0.1717,114
CHTR,0.1708,115
ALAB,0.1704,116
CBT,0.1684,117
SLM,0.1665,118
NXT,0.1661,119
OXY,0.1653,120
BG,0.1653,121
FLUT,0.1647,122
TVRD,0.1614,123
BNL,0.161,124
ADM,0.1594,125
IRMD,0.1568,126
CYRX,0.156,127
MIR,0.1559,128
FLNC,0.151,129
BHR,0.1462,130
IVVD,0.1452,131
AGL,0.1445,132
KNTK,0.1427,133
GTES,0.1415,134
ANAB,0.1414,135
KFRC,0.1408,136
RL,0.1395,137
LTC,0.1374,138
RLMD,0.1368,139
XFOR,0.1366,140
CAT,0.1365,141
DFIN,0.1348,142
NAUT,0.1321,143
SAFE,0.132,144
SYK,0.1319,145
KMX,0.1317,146
BFAM,0.1312,147
FLYE,0.131,148
AQST,0.1294,149
SSRM,0.1283,150
LDOS,0.1272,151
EPAC,0.1259,152
TNK,0.1234,153
EGY,0.1225,154
DE,0.1225,155
RIGL,0.1182,156
MDLZ,0.1181,157
BHK,0.1159,158
FLOC,0.1152,159
VVX,0.1152,160
COLA,0.1114,161
ASPS,0.1107,162
DGX,0.1106,163
NPCE,0.1078,164
ALC,0.1077,165
LII,0.1072,166
UGI,0.1063,167
LQDT,0.1062,168
NOC,0.1007,169
INTA,0.1004,170
PFE,0.1001,171
PENG,0.0995,172
WD,0.0994,173
ABSI,0.0987,174
ECC,0.0957,175
AVR,0.0954,176
O,0.0949,177
PSA,0.094,178
WFC.PRY,0.094,179
LEVI,0.093,180
GCMG,0.091,181
OPFI,0.0898,182
SEAT,0.0884,183
MMM,0.0876,184
MDGL,0.0872,185
SND,0.0868,186
VATE,0.0868,187
NUAI,0.0829,188
ZM,0.0826,189
OXM,0.0812,190
ICFI,0.0794,191
ATRA,0.0794,192
JACK,0.0766,193
SFNC,0.0763,194
MTUS,0.0754,195
OII,0.0746,196
WULF,0.0744,197
CVLG,0.0725,198
CMRE,0.072,199
WELL,0.0713,200
ZBRA,0.0705,201
CNK,0.0703,202
CPSS,0.0688,203
GLOP.PRA,0.0686,204
OZK,0.0673,205
WSFS,0.0638,206
KULR,0.0632,207
AMD,0.0631,208
CELZ,0.0627,209
POR,0.0605,210
SOS,0.0602,211
BVS,0.0597,212
E,0.0595,213
DDS,0.0564,214
NXN,0.0562,215
AFJKR,0.0509,216
MGY,0.0508,217
MSFT,0.0507,218
WRB.PRF,0.0491,219
MYO,0.0461,220
SMLR,0.0446,221
NMFC,0.0443,222
ALL.PRI,0.044,223
OSS,0.0437,224
SB,0.0419,225
SR,0.0412,226
POCI,0.04,227
PFS,0.0398,228
TRUE,0.0389,229
ZD,0.0379,230
INNV,0.0367,231
TARA,0.0362,232
GMED,0.0361,233
ETR,0.0347,234
RMR,0.0325,235
SPCE,0.0322,236
KORE,0.032,237
ARI,0.0313,238
RBOT,0.031,239
AIXC,0.0306,240
EHC,0.0305,241
VRT,0.0296,242
TEL,0.0253,243
SNGX,0.0229,244
CIG,0.0216,245
T,0.0204,246
DKL,0.0183,247
USLM,0.0183,248
APAC,0.0176,249
REI,0.0141,250
OBT,0.0129,251
APPF,0.0123,252
ZGN,0.0105,253
TALO,0.0089,254
ZJK,0.0068,255
CCOI,0.0028,256
SBSI,-0.0032,257
FANG,-0.0055,258
GLOP.PRB,-0.0059,259
SDST,-0.0075,260
SLDB,-0.0084,261
EWCZ,-0.0095,262
CLOV,-0.0097,263
KRO,-0.0105,264
CAR,-0.0124,265
XRX,-0.0127,266
ZEO,-0.013,267
TBHC,-0.0135,268
HSDT,-0.0154,269
CAAS,-0.0162,270
CION,-0.0175,271
CURV,-0.0181,272
TWI,-0.0184,273
MS.PRF,-0.0191,274
NPB,-0.0212,275
NEE.PRS,-0.0222,276
CME,-0.0223,277
EQBK,-0.0225,278
HTH,-0.0254,279
FSK,-0.0263,280
AQB,-0.0267,281
JILL,-0.0295,282
HNNA,-0.0295,283
FRBA,-0.0301,284
PN,-0.0302,285
KMDA,-0.0364,286
SVRN,-0.039,287
SKK,-0.0394,288
SRRK,-0.0395,289
TIPT,-0.0435,290
SD,-0.0448,291
GPRK,-0.0451,292
KMPB,-0.0454,293
NWN,-0.0457,294
AMRC,-0.0471,295
LKFN,-0.0473,296
SID,-0.048,297
NRDS,-0.0487,298
IQI,-0.0493,299
AGEN,-0.0502,300
VCIC,-0.0531,301
TRMD,-0.0532,302
HVII,-0.0532,303
DGICA,-0.0544,304
GDEN,-0.0548,305
SENS,-0.0618,306
PHI,-0.0662,307
PDSB,-0.0711,308
TCBK,-0.0717,309
HRTX,-0.0736,310
LBTYK,-0.0749,311
PESI,-0.0792,312
REKR,-0.0831,313
FEAM,-0.0877,314
AMLX,-0.0907,315
REAX,-0.0913,316
FCCO,-0.0942,317
CCS,-0.0965,318
WHF,-0.1013,319
BB,-0.1105,320
CRON,-0.1119,321
FUBO,-0.1153,322
APT,-0.1167,323
CRD.A,-0.1169,324
DOMO,-0.1179,325
TLSA,-0.1192,326
BRBS,-0.12,327
ACTG,-0.1231,328
DK,-0.1235,329
GBR,-0.1238,330
VNRX,-0.1302,331
BODI,-0.1329,332
CLRO,-0.1344,333
CGTL,-0.1413,334
NIC,-0.1436,335
CSCO,-0.1513,336
HPE,-0.1517,337
YSXT,-0.1531,338
DLNG,-0.1642,339
HBNC,-0.1659,340
CREX,-0.1675,341
COGT,-0.1692,342
BTCS,-0.1702,343
VNOM,-0.1706,344
COOT,-0.181,345
BSVN,-0.1834,346
VSTA,-0.1839,347
KPRX,-0.185,348
FRD,-0.1851,349
FRAF,-0.188,350
NCMI,-0.1887,351
OKUR,-0.2055,352
COUR,-0.2059,353
FSI,-0.2071,354
MHH,-0.2114,355
SVRA,-0.2131,356
STC,-0.2151,357
RCKY,-0.2202,358
INTZ,-0.2291,359
NKSH,-0.2468,360
AQMS,-0.2496,361
CDTG,-0.2534,362
BCAL,-0.2556,363
RECT,-0.2569,364
EDN,-0.2746,365
REFI,-0.2753,366
GWH,-0.2773,367
AVTX,-0.2788,368
REVB,-0.2941,369
ACB,-0.3071,370
BMR,-0.3105,371
AYI,-0.3184,372
HTCR,-0.3221,373
HSTM,-0.3605,374
FLL,-0.3672,375
HCAI,-0.3696,376
